customerid,count
0599-XNYDO,1
1386-ZIKUV,1
7639-SUPCW,1
9256-JTBNZ,1
4658-HCOHW,1
2211-RMNHO,1
2432-TFSMK,1
4290-BSXUX,1
6350-XFYGW,1
3007-FDPEA,1
4338-EYCER,1
9499-XPZXM,1
4732-RRJZC,1
6987-XQSJT,1
6723-CEGQI,1
0626-QXNGV,1
2889-FPWRM,1
2519-TWKFS,1
0813-TAXXS,1
2853-CWQFQ,1
1734-ZMNTZ,1
3796-ENZGF,1
8065-BVEPF,1
3594-KADLU,1
1240-HCBOH,1
3932-IJWDZ,1
1741-WTPON,1
1834-ABKHQ,1
4929-ROART,1
3440-JPSCL,1
3709-OIJEA,1
8375-KVTHK,1
8580-QVLOC,1
4860-IJUDE,1
1100-DDVRV,1
3428-XZMAZ,1
9647-ERGBE,1
2607-FBDFF,1
5360-LJCNJ,1
2154-KVJFF,1
4910-AQFFX,1
1945-XISKS,1
0423-UDIJQ,1
9688-YGXVR,1
7666-WKRON,1
6578-KRMAW,1
1866-DIOQZ,1
3934-HXCFZ,1
9518-XXBXE,1
7305-ZWMAJ,1
8671-KKKOS,1
3506-LCJDC,1
0103-CSITQ,1
8808-ELEHO,1
2012-NWRPA,1
4077-HWUYD,1
9274-UARKJ,1
3956-MGXOG,1
0378-TOVMS,1
4355-HBJHH,1
6728-WYQBC,1
9058-CBREO,1
4877-EVATK,1
4547-KQRTM,1
5322-TEUJK,1
9415-TPKRV,1
2252-ISRNH,1
7787-BNTZM,1
8063-GBATB,1
5944-UGLLK,1
3750-CKVKH,1
4804-NCPET,1
4329-YPDDQ,1
5914-XRFQB,1
1385-TQOZW,1
5827-MWCZK,1
4625-XMOYM,1
2074-GUHPQ,1
5572-ZDXHY,1
5339-TJFEK,1
5520-FVEWJ,1
6145-NNPNO,1
0318-QUUOB,1
7216-KAOID,1
9029-FEGVJ,1
9058-MJLZC,1
5707-ORNDZ,1
0902-XKXPN,1
3850-OKINF,1
5204-HMGYF,1
6408-OTUBZ,1
0303-WMMRN,1
7577-SWIFR,1
5549-ZGHFB,1
4119-ZYPZY,1
8016-NCFVO,1
3295-YVUSR,1
1156-ZFYDO,1
8010-EZLOU,1
6892-XPFPU,1
5980-NOPLP,1
7621-VPNET,1
4625-EWPTF,1
0620-DLSLK,1
4128-ETESU,1
8199-ZLLSA,1
4188-FRABG,1
2982-VPSGI,1
7267-FRMJW,1
8020-BWHYL,1
4353-HYOJD,1
4903-CNOZC,1
8563-IIOXK,1
1078-TDCRN,1
3727-OVPRY,1
3797-FKOGQ,1
7622-NXQZR,1
7721-DVEKZ,1
7105-BENQF,1
6000-APYLU,1
4188-PCPIG,1
2252-JHJGE,1
8062-YBDOE,1
6135-OZQVA,1
3472-OAOOR,1
4801-KFYKL,1
0696-UKTOX,1
9840-EFJQB,1
5928-QLDHB,1
8092-NLTGF,1
5840-NVDCG,1
8109-YUOHE,1
8294-UIMBA,1
9874-QLCLH,1
5439-WIKXB,1
8807-OPMBM,1
5562-YJQGT,1
7017-VFULY,1
3970-XGJDU,1
6196-HBOBZ,1
6034-YMTOB,1
5317-FLPJF,1
9507-HSMMZ,1
8314-HTWVE,1
1399-OUPJN,1
8739-QOTTN,1
3705-PSNGL,1
7074-STDCN,1
8966-OIQHG,1
7136-IHZJA,1
8779-YIQQA,1
5707-ZMDJP,1
7159-NOKYQ,1
2507-QZPQS,1
9402-ROUMJ,1
1644-IRKSF,1
4759-TRPLW,1
4879-GZLFH,1
2821-WARNZ,1
8050-WYBND,1
5995-SNNEW,1
1746-TGTWV,1
4628-WQCQQ,1
1602-IJQQE,1
6892-BOGQE,1
5018-LXQQG,1
7191-ADRGF,1
6551-ZCOTS,1
0277-BKSQP,1
6502-HCJTI,1
2606-RMDHZ,1
5774-XZTQC,1
6374-AFWOX,1
5371-VYLSX,1
9258-CNWAC,1
1383-EZRWL,1
6686-YPGHK,1
8541-QVFKM,1
7113-HIPFI,1
7811-JIVPF,1
9633-DENPU,1
8878-RYUKI,1
2995-UPRYS,1
1328-EUZHC,1
6421-SZVEM,1
9070-BCKQP,1
6591-QGOYB,1
9940-RHLFB,1
6861-OKBCE,1
8258-GSTJK,1
8547-NSBBO,1
0363-SVHYR,1
7269-JISCY,1
6266-QHOJZ,1
2676-SSLTO,1
3566-VVORZ,1
2480-SQIOB,1
3744-ZRRDZ,1
5366-IJEQJ,1
2851-STERV,1
2615-YVMYX,1
8485-GJCDN,1
3338-CVVEH,1
5115-GZDEL,1
3239-TPHPZ,1
4971-PUYQO,1
1981-INRFU,1
5902-WBLSE,1
6233-HXJMX,1
7661-CPURM,1
7753-USQYQ,1
3589-PPVKW,1
8777-MBMTS,1
2056-EVGZL,1
7841-FCRQD,1
6261-LHRTG,1
7025-IWFHT,1
4299-SIMNS,1
3858-XHYJO,1
0302-JOIVN,1
1755-RMCXH,1
1075-BGWOH,1
5887-IKKYO,1
4393-GEADV,1
8486-AYEQH,1
1527-SXDPN,1
6029-WTIPC,1
6574-MCOEH,1
0394-YONDK,1
1061-PNTHC,1
0345-HKJVM,1
2725-IWWBA,1
9530-EHPOH,1
6723-WSNTY,1
7673-BQGKU,1
8780-IXSTS,1
6507-DTJZV,1
6682-QJDGB,1
5424-RLQLC,1
2885-HIJDH,1
8075-GXIUB,1
2027-DNKIV,1
4274-DRSQT,1
9309-BZGNT,1
9591-YVTEB,1
4560-WQAQW,1
1409-PHXTF,1
2495-KZNFB,1
5419-JKZNQ,1
8634-CILSZ,1
8327-LZKAS,1
4060-LDNLU,1
0947-IDHRQ,1
2080-CAZNM,1
0643-OKLRP,1
7566-DSRLQ,1
0786-IVLAW,1
1676-MQAOA,1
1902-XBTFB,1
7096-ZNBZI,1
3507-GASNP,1
5982-PSMKW,1
3001-UNBTL,1
6907-FLBER,1
1028-FFNJK,1
3776-EKTKM,1
8044-BGWPI,1
3021-VLNRJ,1
7570-WELNY,1
8988-ECPJR,1
3823-KYNQY,1
5727-MYATE,1
0361-HJRDX,1
9048-JVYVF,1
4350-ZTLPI,1
3672-YITQD,1
0128-MKWSG,1
7813-TKCVO,1
7245-JMTTQ,1
6050-IJRHS,1
6202-JVYEU,1
8591-TKMZH,1
5376-PCKNB,1
9233-PSYHO,1
1241-EZFMJ,1
6854-EXGSF,1
5336-UFNZP,1
2282-YGNOR,1
3976-NLDEZ,1
2923-ARZLG,1
5018-HEKFO,1
3034-ZBEQN,1
7845-URHJN,1
2983-ZANRP,1
7668-XCFYV,1
3511-BFTJW,1
8382-SHQEH,1
2794-XIMMO,1
1841-YSJGV,1
6502-KUGLL,1
9381-NDKME,1
7349-ALMUX,1
0365-TRTPY,1
4282-ACRXS,1
0734-OXWBT,1
5673-TIYIB,1
2911-UREFD,1
5177-RVZNU,1
5281-BUZGT,1
6075-QMNRR,1
7839-NUIAA,1
0089-IIQKO,1
0264-CNITK,1
8242-PDSGJ,1
6582-PLFUU,1
6040-CGACY,1
3420-YJLQT,1
2436-QBZFP,1
0562-FGDCR,1
4994-OBRSZ,1
8565-WUXZU,1
8993-PHFWD,1
6635-MYYYZ,1
3720-DBRWL,1
3957-LXOLK,1
7161-DFHUF,1
8639-NHQEI,1
3359-DSRKA,1
0114-PEGZZ,1
7330-WZLNC,1
5092-STPKP,1
3765-JXVKY,1
7137-RYLPP,1
5378-IKEEG,1
5966-EMAZU,1
0440-EKDCF,1
4774-HHGGS,1
6892-EZDTG,1
3669-LVWZB,1
3446-QDSZF,1
4735-ASGMA,1
2612-RRIDN,1
1223-UNPKS,1
3682-YEUWS,1
4973-MGTON,1
2626-URJFX,1
1449-XQEMT,1
3703-KBKZP,1
9975-SKRNR,1
6413-XKKPU,1
0930-EHUZA,1
3898-GUYTS,1
4584-LBNMK,1
2272-WUSPA,1
9842-EFSYY,1
5566-SOEZD,1
4298-OYIFC,1
8180-AKMJV,1
2055-BFOCC,1
2718-GAXQD,1
1565-RHDJD,1
2533-TIBIX,1
7379-FNIUJ,1
6344-SFJVH,1
2568-OIADY,1
0899-LIIBW,1
3688-FTHLT,1
1355-KUSBG,1
9475-NNDGC,1
8727-JQFHV,1
3721-CNEYS,1
6941-KXRRV,1
7321-ZNSLA,1
8041-TMEID,1
3950-VPYJB,1
8714-EUHJO,1
3521-MNKLV,1
0868-VJRDR,1
1337-BOZWO,1
0440-UEDAI,1
7515-LODFU,1
2055-PDADH,1
0931-MHTEM,1
8190-ZTQFB,1
5380-AFSSK,1
8696-JKZNU,1
8993-IZEUX,1
0056-EPFBG,1
1384-RCUXW,1
5825-XJOCM,1
6848-YLDFR,1
8125-QPFJD,1
1394-SUIUH,1
0533-UCAAU,1
4432-ADRLB,1
8875-AKBYH,1
8404-GFGCZ,1
3162-ZJZFU,1
9746-MDMBK,1
4393-RYCRE,1
9184-GALIL,1
2673-ZALNP,1
5304-EFJLP,1
2359-KLTEK,1
5233-GEEAX,1
8404-VIOMB,1
2305-MRGLV,1
1215-EXRMO,1
4501-UYKBC,1
7869-ZYDST,1
4973-RLZVI,1
5923-GXUOC,1
2302-ANTDP,1
1193-RTSLK,1
2320-YKQBO,1
5117-IFGPS,1
1627-AFWVJ,1
4135-FRWKJ,1
2599-CIPQE,1
7298-IZWLY,1
5429-LWCMV,1
8118-TJAFG,1
6101-IMRMM,1
1848-LBZHY,1
0254-FNMCI,1
3247-ZVOUO,1
1401-FTHFQ,1
7326-RIGQZ,1
8774-GSBUN,1
6653-CBBOM,1
6617-WLBQC,1
9150-KPBJQ,1
5231-FIQPA,1
3320-VEOYC,1
6928-ONTRW,1
2073-QBVBI,1
4140-WJAWW,1
0708-SJDIS,1
3528-HFRIQ,1
1261-FWTTE,1
9367-TCUYN,1
9699-UBQFS,1
3654-ARMGP,1
9758-MFWGD,1
3955-JBZZM,1
1268-ASBGA,1
8943-URTMR,1
6133-OZILE,1
6907-NZZIJ,1
1376-HHBDV,1
7354-OIJLX,1
3262-EIDHV,1
6925-BAYGL,1
6094-ZIVKX,1
4828-FAZPK,1
3255-GRXMG,1
0899-WZRSD,1
7762-URZQH,1
2955-PSXOE,1
1360-JYXKQ,1
8149-AIQCG,1
7252-NTGSS,1
9500-LTVBP,1
9927-DSWDF,1
4325-NFSKC,1
1561-BWHIN,1
4092-OFQZS,1
9909-IDLEK,1
4713-LZDRV,1
4815-TUMEQ,1
0052-DCKON,1
7407-SUJIZ,1
9725-SCPZG,1
4398-HSCJH,1
4855-SNKMY,1
6527-PZFPV,1
8165-CBKXO,1
4822-LPTYJ,1
4430-UZIPO,1
7852-LECYP,1
1987-AUELQ,1
1237-WIYYZ,1
9795-VOWON,1
2303-PJYHN,1
2197-OMWGI,1
3097-IDVPU,1
9103-TCIHJ,1
9239-ZBZZV,1
3943-KDREE,1
8313-AFGBW,1
7088-FBAWU,1
6954-OOYZZ,1
7480-QNVZJ,1
7853-GVUDZ,1
0060-FUALY,1
4486-EFAEB,1
3217-FZDMN,1
5884-GCYMI,1
9593-CVZKR,1
8595-SIZNC,1
8008-HAWED,1
7124-UGSUR,1
2359-QWQUL,1
2067-QYTCF,1
1867-BDVFH,1
0567-XRHCU,1
8292-TYSPY,1
5600-PDUJF,1
1699-TLDLZ,1
8920-NAVAY,1
4816-JBHOV,1
3557-HTYWR,1
7912-SYRQT,1
9692-TUSXH,1
5360-XGYAZ,1
7740-KKCXF,1
1502-XFCVR,1
4647-XXZAM,1
0909-SDHNU,1
1439-LCGVL,1
5846-ABOBJ,1
2694-CIUMO,1
4827-DPADN,1
5236-XMZJY,1
1862-SKORY,1
0257-KXZGU,1
9039-RBEEE,1
7576-JMYWV,1
3620-MWJNE,1
6137-NICCO,1
1833-VGRUM,1
9481-IEBZY,1
6174-NRBTZ,1
8819-ZBYNA,1
9504-YAZWB,1
4304-XUMGI,1
9306-CPCBC,1
6701-YVNQG,1
6837-HAEVO,1
8573-JGCZW,1
2903-YYTBW,1
7868-BGSZA,1
9602-WCXPI,1
7785-RDVIG,1
8625-AZYZY,1
0650-BWOZN,1
8644-XLFBW,1
9773-PEQBZ,1
2533-QVMSK,1
7698-YFGEZ,1
5914-DVBWJ,1
7973-DZRKH,1
2930-UOTMB,1
9065-ZCPQX,1
6402-EJMWF,1
3620-EHIMZ,1
3213-VVOLG,1
5089-IFSDP,1
8805-JNRAZ,1
8439-LTUGF,1
1767-TGTKO,1
0004-TLHLJ,1
3594-UVONA,1
0812-WUPTB,1
1194-HVAIF,1
4039-HEUNW,1
1080-BWSYE,1
8387-UGUSU,1
7714-YXSMB,1
3932-CMDTD,1
6872-HXFNF,1
8194-PEEBY,1
2325-ZUSFD,1
9169-BSVIN,1
4626-OZDTJ,1
6946-LMSQS,1
2656-TABEH,1
8374-XGEJJ,1
8747-UDCOI,1
6870-ECSHE,1
2800-QQUSO,1
8614-VGMMV,1
0206-OYVOC,1
9136-ALYBR,1
9351-HXDMR,1
4201-JMNGR,1
1814-DKOLC,1
6674-KVJHG,1
2959-MJHIC,1
0430-IHCDJ,1
9385-NXKDA,1
8617-ENBDS,1
7479-NITWS,1
8885-QSQBX,1
4615-PIVVU,1
8443-ZRDBZ,1
1508-DFXCU,1
7096-UCLNH,1
1816-FLZDK,1
0412-UCCNP,1
2522-AHJXR,1
4415-WNGVR,1
4424-TKOPW,1
6339-RZCBJ,1
1548-ARAGG,1
4806-HIPDW,1
2645-QTLMB,1
9040-KZVWO,1
3537-HPKQT,1
2129-ALKBS,1
5821-MMEIL,1
5960-WPXQM,1
4280-DLSHD,1
6278-FEPBZ,1
6712-OAWRH,1
3453-RTHJQ,1
6598-RFFVI,1
0310-VQXAM,1
1725-IQNIY,1
2386-OWURY,1
0064-YIJGF,1
8337-UPOAQ,1
4958-XCBDQ,1
1469-LBJQJ,1
8800-JOOCF,1
8873-TMKGR,1
1335-MXCSE,1
8631-NBHFZ,1
9631-XEYKE,1
4742-TXUEX,1
6968-URWQU,1
1866-RZZQS,1
1309-XGFSN,1
8260-NGFNY,1
0684-AOSIH,1
6418-HNFED,1
7291-CDTMJ,1
9822-WMWVG,1
7964-YESJC,1
1304-NECVQ,1
8851-RAGOV,1
8849-PRIQJ,1
9702-AIUJO,1
4647-MUZON,1
4390-KYULV,1
7950-XWOVN,1
9938-ZREHM,1
7716-YTYHG,1
5275-SQEIZ,1
6173-GOLSU,1
6339-TBELP,1
2139-FQHLM,1
9025-AOMKI,1
6319-IEJWJ,1
3871-IKPYH,1
5600-KTXFM,1
3115-JPJDD,1
1755-FZQEC,1
8749-TZYEC,1
3882-IYOIJ,1
0991-BRRFB,1
8938-UMKPI,1
1093-YSWCA,1
5396-IZEPB,1
1729-VLAZJ,1
8285-ABVLB,1
0701-TJSEF,1
8788-DOXSU,1
4652-NNHNY,1
2019-HDCZY,1
4587-VVTOX,1
6704-UTUKK,1
7225-CBZPL,1
4505-EXZHB,1
9861-PDSZP,1
5915-ANOEI,1
5655-JSMZM,1
4495-LHSSK,1
4355-CVPVS,1
4324-AHJKS,1
5154-VEKBL,1
3815-SLMEF,1
4537-CIBHB,1
8720-RQSBJ,1
6959-UWKHF,1
4797-MIWUM,1
1559-DTODC,1
8945-GRKHX,1
6629-LADHQ,1
5712-VBOXD,1
8261-GWDBQ,1
6372-RFVNS,1
7128-GGCNO,1
3129-AAQOU,1
2898-LSJGD,1
7392-YYPYJ,1
2403-BCASL,1
4570-QHXHL,1
7340-KEFQE,1
2018-PZKMU,1
5299-SJCZT,1
1099-BTKWT,1
1357-BIJKI,1
1396-QWFBJ,1
4922-CVPDX,1
5701-SVCWR,1
5759-RCVCB,1
4817-VYYWS,1
0365-BZUWY,1
5854-KSRBJ,1
0479-HMSWA,1
9862-KJTYK,1
1732-FEKLD,1
0840-DCNZE,1
3675-EQOZA,1
6710-HSJRD,1
7691-KGKGP,1
0237-YFUTL,1
2223-GDSHL,1
7359-PTSXY,1
9470-RTWDV,1
2176-OSJUV,1
4803-LBYPN,1
5206-XZZQI,1
5999-LCXAO,1
2773-OVBPK,1
8008-OTEZX,1
9278-VZKCD,1
2332-TODQS,1
8015-IHCGW,1
8590-OHDIW,1
4979-HPRFL,1
5989-AXPUC,1
5816-SCGFC,1
3824-RHKVR,1
7995-ZHHNZ,1
3886-CERTZ,1
2592-HODOV,1
6086-ESGRL,1
4503-BDXBD,1
3786-WOVKF,1
4090-KPJIP,1
4521-YEEHE,1
8104-OSKWT,1
9348-YVOMK,1
2391-SOORI,1
2984-TBYKU,1
7421-ZLUPA,1
0133-BMFZO,1
3038-PQIUY,1
1552-CZCLL,1
8623-TMRBY,1
7925-PNRGI,1
6185-TASNN,1
7011-CVEUC,1
3656-TKRVZ,1
2260-USTRB,1
9026-LHEVG,1
9540-JYROE,1
6128-CZOMY,1
9447-YPTBX,1
7541-YLXCL,1
8734-FNWVH,1
9643-YBLUR,1
6210-KBBPI,1
8722-NGNBH,1
5913-INRQV,1
9552-TGUZV,1
2292-XQWSV,1
6357-JJPQT,1
7860-UXCRM,1
0260-ZDLGK,1
6080-TCMYC,1
1501-SGHBW,1
9313-CDOGY,1
8148-BPLZQ,1
2623-DRYAM,1
7527-QNRUS,1
5186-EJEGL,1
3243-ZHOHY,1
0396-UKGAI,1
1591-XWLGB,1
9544-PYPSJ,1
9819-FBNSV,1
3569-JFODW,1
2933-FILNV,1
9373-WSLOY,1
6479-VDGRK,1
3209-ZPKFI,1
3346-BRMIS,1
8707-RMEZH,1
6900-PXRMS,1
8039-EQPIM,1
1925-LFCZZ,1
0491-KAPQG,1
5693-PIPCS,1
2612-RANWT,1
4488-KQFDT,1
3208-YPIOE,1
9987-LUTYD,1
4795-WRNVT,1
2560-QTSBS,1
2722-JMONI,1
2254-DLXRI,1
1568-BEKZM,1
8200-LGKSR,1
6212-ATMLK,1
8914-RBTSB,1
0853-TWRVK,1
1301-LOPVR,1
1530-ZTDOZ,1
1053-MXTTK,1
2219-MVUSO,1
9028-LIHRP,1
5062-CJJKH,1
3612-YUNGG,1
9501-UKKNL,1
2165-VOEGB,1
4318-RAJVY,1
9474-PHLYD,1
4311-QTTAI,1
1703-MGIAB,1
2880-FPNAE,1
2332-EFBJY,1
3746-EUBYR,1
9026-RNUJS,1
5889-JTMUL,1
4706-AXVKM,1
0670-ANMUU,1
6897-RWMUB,1
0963-ZBDRN,1
7594-RQHXR,1
4634-JLRJT,1
6506-EYCNH,1
1730-ZMAME,1
8980-WQFWL,1
6696-YDAYZ,1
9847-HNVGP,1
2227-JRSJX,1
1670-SVOWZ,1
9677-AVKED,1
4317-VTEOA,1
7820-ZYGNY,1
6741-EGCBI,1
1624-NALOJ,1
5998-VVEJY,1
4452-QIIEB,1
5171-EPLKN,1
8417-GSODA,1
2045-BMBTJ,1
0895-LNKRC,1
6331-EWIEB,1
1077-HUUJM,1
6134-KWTBV,1
6999-CHVCF,1
9986-BONCE,1
2203-GHNWN,1
0508-OOLTO,1
3812-LRZIR,1
9209-NWPGU,1
4877-TSOFF,1
3724-BSCVH,1
2103-ZRXFN,1
6698-OXETB,1
9537-JALFH,1
4993-JCRGJ,1
9220-CXRSC,1
4227-OJHAL,1
9483-GCPWE,1
4818-QIUFN,1
5616-PRTNT,1
6849-OYAMU,1
1137-DGOWI,1
7346-MEDWM,1
4821-SJHJV,1
3144-AUDBS,1
6088-BXMRG,1
1150-WFARN,1
7032-LMBHI,1
7159-FVYPK,1
2150-WLKUW,1
6038-GCYEC,1
9488-HGMJH,1
6961-VCPMC,1
7306-YDSOI,1
5288-AHOUP,1
6688-UZPWD,1
5789-LDFXO,1
4950-BDEUX,1
8601-QACRS,1
2926-JEJJC,1
3489-HHPFY,1
7134-HBPBS,1
0191-EQUUH,1
3082-YVEKW,1
2897-DOVND,1
6771-XWBDM,1
3635-QQRQD,1
6352-GIGGQ,1
9057-SIHCH,1
1965-DDBWU,1
0968-GSIKN,1
5201-CBWYG,1
7010-ZMVBF,1
8328-SKJNO,1
2839-RFSQE,1
1097-FSPVW,1
6823-SIDFQ,1
8468-EHYJA,1
0655-YDGFJ,1
